Number	Poem	Page	ID	Position	Character	Pinyin	MC	OC	FQ	GY	Tone	Division	?	Final	Rhyme	Metrum I	Metrum II	Metrum III	Text	German	
5	DÀ YÚ DǏNG 大盂鼎	152-155	2b	17	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	A	I	xxxx	A	《盂！不（丕）顯玟（文）王A，	Yú! Der illustre König Wén	
5	DÀ YÚ DǏNG 大盂鼎	152-155	2g	22	令	lìng	*ljengH	*C-riŋ(s)	力政	來勁	q	III	k	真	B	II	xxxxx	B	受天有（佑）大令（命B）。	erhielt das vom Himmel behütete große Mandat.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	2g	22	命	mìng	*mjaengH	*mriŋ(s)	眉病	明映	q	III	k	真	B						
5	DÀ YÚ DǏNG 大盂鼎	152-155	2h	29	邦	bāng	*paewng	*prōŋ	博江	幫江	p	II	k	東	a	III	xxxxxxx	a	在珷（武）王嗣玟（文）乍（作）邦a，	Als König Wǔ die Nachfolge Wéns antrat, gründete er den Staat,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	3f	36	方 	fāng	*pjang	*paŋ	府良	非陽 	p	III	h	陽	A	IV	xxxxxxx	A	{門0廾}（闢）氒（厥）匿（慝），匍（敷）有亖（四）方A，	merzte dessen [König Zhòus 紂 von Shāng] Schlechtigkeiten aus, nahm die vier Himmelsgegenden weithin in Besitz 	
5	DÀ YÚ DǏNG 大盂鼎	152-155	3j	40	民	mín	*mjin	*min 	彌鄰	明真	p	III	k	真	B	V	xxxx	B	{田+允}（畯）正氒（厥）民B。	und regierte lange sein Volk.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	3n	44	事	shì	*dzriH	*ɦsrəs	鉏史	崇止	q	III	k	之	C	VI	xxxx	C	在𩁹（于）御事C，	Unter denen, die in Ausübung der Amtsgeschäfte	
5	DÀ YÚ DǏNG 大盂鼎	152-155	4d	49	酉+{舌>火}										?	VII	xxxxx	X	{{虍>且}+又}酉（酒）， 無敢{酉+{舌>火}}（耽X），	Alkohol in die Hände bekamen, gab es niemanden, der es gewagt hätte, sich zu berauschen	
5	DÀ YÚ DǏNG 大盂鼎	152-155	4d	49	耽	dān	*tom	*tūm	丁含	端寒	p	I	k	侵	X						
5	DÀ YÚ DǏNG 大盂鼎	152-155	4h	53	祀	sì	*ziX	*zə(k)ʔ	詳里	邪止	s	III	k	之	C	VIII	xxxx	C	有（柴）{米>豆>廾}（蒸）祀C，	und hielt man das chái- (Feuer-) oder das zhēng- (Winter-) Opfer ab,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	4k	56	酉+{一>{止+自+巳}>八>夊}										?	IX	xxx	c	無敢{酉+{一>{止+自+巳}>八>夊}}（酬c），	gab es niemanden, der es gewagt hätte, angetrunken zu sein;	
5	DÀ YÚ DǏNG 大盂鼎	152-155	4k	56	酬	chóu	*dzyuw	*du	市流	禪尤	p	III	k	幽	c						
5	DÀ YÚ DǏNG 大盂鼎	152-155	5a	61	子	zǐ	*tsiX	*tsəʔ	即里	精止	s	III	k	之	C	X	xxxxx	C	古（故）天異（翼）臨子C，	deshalb nahm der Himmel seinen Sohn unter die Fittiche und wachte über ihm,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	5e	65	王	wáng	*hjwang	*waŋ	雨方	云陽	p	III	h	陽	D	XI	xxxx	D	𢌇（廢）保先王D，	beschützte großartig die frühen Könige	
5	DÀ YÚ DǏNG 大盂鼎	152-155	5i	69	方 	fāng	*pjang	*paŋ	府良	非陽 	p	III	h	陽	D	XII	xxxx	D	囗有亖（四）方D。	und […?...] nahm die vier Himmelsgegenden in seinen Besitz.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	5n	74	令	lìng	*ljengH	*C-riŋ(s)	力政	來勁	q	III	k	真	E	XIII	xxxxx	E	我{{⺌>弓>屮}+耳}（聞） 殷述（墜）令（命E），	Wir haben gehört, daß Yīn das Mandat fallen ließ.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	5n	74	命	mìng	*mjaengH	*mriŋ(s)	眉病	明映	q	III	k	真	E						
5	DÀ YÚ DǏNG 大盂鼎	152-155	6d	79	田	tián	*den	*dīn	徒年	定先	p	IV	k	真	E	XIV	xxxxx	E	隹（唯）殷{ㄔ+{自>宀>八>方}}（邊）侯田（甸E），	Es waren die Markgrafen und Domänenverwalter in den Grenzgebieten	
5	DÀ YÚ DǏNG 大盂鼎	152-155	6d	79	甸	diàn	*denH	*dīns	堂堜	定霰	q	IV	k	真	E						
5	DÀ YÚ DǏNG 大盂鼎	152-155	6i	84	辟	bì	*pjek	*pek	必益	幫昔	r	III	k	錫	X	XV	xxxxx	X	𩁹（于）殷正百辟X，	und die in Yīn [selbst] regierende Beamtenschaft,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	6m	88	酉	yǒu	*yuwX	*juʔ	與久	以有	s	III	k	幽	F	XVI	xxxx	F	率肆于酉（酒F），	die allesamt dem Alkohol verfielen;	
5	DÀ YÚ DǏNG 大盂鼎	152-155	6m	88	酒	jiǔ	*tsuw'	*tsuʔ	子酉	精有	s	III	k	幽	F						
5	DÀ YÚ DǏNG 大盂鼎	152-155	7b	92	已	yǐ	*yiX	*ləʔ	羊己	以止	s	III	k	之	G	XVII	xxxx	G	古（故）喪𠂤 已G！	deshalb verloren sie ihre Garnisonen!	
5	DÀ YÚ DǏNG 大盂鼎	152-155	7h	98	服	fú	*bjuwk	*bək	房六	夆屋	r	III	h	職	g	XVIII	xxxxxx	g	女（汝）妹（昧）辰又（有）大服g，	Du hast von Kindestagen an eine große Aufgabe gehabt,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	7n	104	學	xué	*haewk	*ɦkrūk	胡覺	匣覺	r	II	k	覺	f	XIX	xxxxxx	f	余隹（唯）即朕小學 f。	weil ich es war, der dich in meine Jünglingsschule eintreten ließ.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	8g	112	人	rén	*nyin	*nin	如鄰	日真	p	III	k	真	h	XX	xxxxxxxx	h	女（汝）勿剋余乃辟{一>人}h（一人）。	Kränke du mich, deinen Herrscher, den einzigen Menschen, nicht!	
5	DÀ YÚ DǏNG 大盂鼎	152-155	9b	123	德	dé	*tok	*tə̄k	多則	端德	r	I	k	職	g	XXI	xxxxxxxxxxx   	g	今我隹（唯）即井（型）{宀>面}（稟）于玟文王正（政）德 g。	Heute sind wir es, die gekommen sind, um König Wéns Regierungsgeschäfte und Tugendkraft zum Modell zu nehmen und fortzusetzen.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	9i	130	正	zhèng	*tsjengH	*teŋs 	之盛	章勁	q	III	k	耕	H	XXII	xxxxxxx	H	若玟（文）王令二、三正H，	Wie König Wén zwei oder drei Aufrechte (Beamte) befehligte,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	10c	138	{火+火}>乂										?	XXIII	xxxxxxxx	H	今余隹（唯）令女（汝），盂，{{臼0召}>酉>皿}（詔）{{火+火}>乂}（榮）H，	so befehle ich heute dir, Yú, den Róng zu unterstützen,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	10c	138	榮	róng	*hjwaeng	*wreŋ	永兵	云庚	p	III	h	耕	H						
5	DÀ YÚ DǏNG 大盂鼎	152-155	10g	142	巠	jīng	*keng	*kēŋ	古靈	見青	p	IV	k	耕	H	XXIV	xxxx	H	{艹>勹}（敬）雝德巠（經）H 。	und ehrerbietig die Regeln der Tugendkraft zu harmonisieren.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	10g	142	經	jīng	*keng	*kēŋ	古靈	見青	p	IV	k	耕	H						
5	DÀ YÚ DǏNG 大盂鼎	152-155	10l	147	讕	lán	*lan	*C-rān 	落干	來寒	p	I	k	元	X	XXV	xxxxx	X	敏朝夕入讕（諫X），	Sei sorgfältig von morgens bis abends, bringe Ermahnungen ein,	[...]
5	DÀ YÚ DǏNG 大盂鼎	152-155	10l	147	諫	jiàn	*kaenH	*krāns	古晏	見諫	q	II	k	元	X						
5	DÀ YÚ DǏNG 大盂鼎	152-155	11b	153	畏	wèi	*'jwijH	*ʔujs	於胃	影畏 	q	III	h	微	X	XXVI	xxxxxx	X	亯（享）、奔走，畏天畏（威 X）！》	opfere und hetze dich ab, fürchte die Autorität des Himmels!	
5	DÀ YÚ DǏNG 大盂鼎	152-155	11b	153	威	wēi	*'jwij	*ʔuj	於非	影微	p	III	h	微	X						
5	DÀ YÚ DǏNG 大盂鼎	152-155		(154-155)																	
5	DÀ YÚ DǏNG 大盂鼎	152-155	11h	165	公	gōng	*kuwŋ	*kōŋ	古紅	見東	p	I	h	東	I	XXVII	xxxxxxxxxx	I	王曰﹕《而令女（汝），盂，井（型）乃嗣且（祖）南公I！》	Der König sprach: Und ich befehle dir, Yú, deinen Ahnvater, den Herzog des Südens, dessen Erbe du angetreten hast, zum Modell zu nehmen!	[...]
5	DÀ YÚ DǏNG 大盂鼎	152-155		(166-167)																	
5	DÀ YÚ DǏNG 大盂鼎	152-155	12h	174	戎	róng	*nyuwŋ	*nuŋ	如融	日東	p	III	h	冬	i	XXVIII	xxxxxxx	i	王曰﹕《盂！迺（乃）{{臼0召}>酉>皿}（詔）夾死（尸）{𤔔+司}（嗣）戎 i，	Der König sprach: Yú! Unterstütze du [mich] und übernehme als mein Repräsentant die Verantwortung für die Abwicklung der Kriegsgeschäfte,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	12l	178	訟	sòng	*zjowngH	*sgoŋs	似用	邪用	q	III	h	東	I	XXIX	xxxx	I	敏誎（速）罰訟I！	sei sorgfältig und geschwind mit Bußgeldern und Rechtshändeln!	
5	DÀ YÚ DǏNG 大盂鼎	152-155	13f	187	方 	fāng	*pjang	*paŋ	府良	非陽 	p	III	h	陽 	i	XXX	xxxxxxxxx	ι	夙夕召（詔）我{一>人}（一人）{米>豆>廾}（烝）亖（四）方 i，	Von früh bis spät unterstütze uns, den einen Menschen, dabei, den vier Himmelsgegenden Fürst zu sein und stehe uns bei,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	14b	199	土	tǔ	*thuX	*thāʔ	他魯	透姥	s	I	h	魚 	J	XXXI	xxxxxxxxxxxx	J	𩁹（于）我其遹省先王受民王受彊（疆）土J ！	wenn wir die von den frühen Königen erhaltenen Völker und Grenzländer patrouillieren und inspizieren werden!	
5	DÀ YÚ DǏNG 大盂鼎	152-155	14g	205	卣	yǒu	*yuwX	*juʔ	與久	以有	s	III	k	幽	K	XXXII	xxxxxx	K	易（賜）女（汝）鬯一卣K 、	Ich beschenke dich mit einer Kanne Würzwein,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	14m	210	馬	mǎ	*maeX	*mrāʔ	莫下	明馬	s	II	k	魚	J	XXXIII	xxxxx	J	冖衣、巿、舄、車馬J。	einem leichten Hanfgewand, Plateausandalen, Pferd und Wagen.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	15f	218	辶+獸										?	XXXIV	xxxxxxxx	K	易（賜）乃且（祖）南公旂，用{辶+獸}（狩K）！	Ich beschenke dich mit dem Banner deines Ahnvaters, des Herzogs des Südens; verwende es auf Jagdexpeditionen!	
5	DÀ YÚ DǏNG 大盂鼎	152-155	15f	218	狩	shòu	*sjuwH	*stus 	舒救	書宥	q	III	k	幽	K						
5	DÀ YÚ DǏNG 大盂鼎	152-155	15l	224	白	bái	*baek	*brāk	傍陌	並陌	r	II	k	鐸	j	XXXV	xxxxxx	j	易女（汝）邦{𤔔+司}（司）四白（伯j），	Ich beschenke dich mit Staatsbeamten, vier Kräfte,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	15l	224	伯	bó	*paek	*prāk	博陌	幫陌	r	II	k	鐸	j						
5	DÀ YÚ DǏNG 大盂鼎	152-155	16m	240	夫	fū	*pju	*p( r )a	甫無	幫虞	p	III	h	魚	J	XXXVII 	xxxxxxxxx	j	人鬲自馶（馭）至于庶人{六>百}（六百）又{五>十}（五十）又九夫J。	mit gemeinen Fußvolk, vom Wagenlenker bis zu den einfachen Gefreiten sechshundertneunundfünfzig Mann.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	17e	249	白	bái	*baek	*brāk	傍陌	並陌	r	II	k	鐸	j	XXXVIII	xxxxxxx	J	易（賜）尸（夷）{𤔔+司}（司）王臣十又三白（伯 j），	Ich beschenke dich mit barbarischen Königsdienern, dreizehn Kräfte,	[...]
5	DÀ YÚ DǏNG 大盂鼎	152-155	17e	249	伯	bó	*paek	*prāk	博陌	幫陌	r	II	k	鐸	j						
5	DÀ YÚ DǏNG 大盂鼎	152-155	17k	256	夫	fū	*pa	*p( r )a	甫無	幫虞	p	III	h	魚	J	XXXVI	xxxxxxxxxxxxxxxx	J	人鬲千又{五>十}（五十）夫J。	und mit einfachem [barbarischen] Fußvolk, tausendundfünfzig Mann.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	18b	262	土	tǔ	*thuX	*thāʔ	他魯	透姥	s	I	h	魚	J	XXXIX	xxxxxx	J	{ㄔ+亟}（極）{宀>{{口>丰}+戈}}{{{臼0自}>廾}+{吕>燕}}（遷）自氒（厥）土J ！》	Bis hin nach ？ siedele sie aus ihren (Herkunfts) Gebieten um!	
5	DÀ YÚ DǏNG 大盂鼎	152-155		(263-264)																	
5	DÀ YÚ DǏNG 大盂鼎	152-155	18i	269	正	zhèng	*tsjengH	*teŋs	之盛	章勁	q	III	k	耕	L	XL	xxxxx	L	王曰﹕《盂，若苟（敬）乃正（政L），	Der König sprach: Nimm du ehrerbietig deine Regierungsaufgaben wahr,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	18i	269	政	zhèng	*tsjengH	*teŋs	之盛	章勁	q	III	k	耕	L						
5	DÀ YÚ DǏNG 大盂鼎	152-155	18m	273	令	lìng	*ljengH	*C-riŋ(s)	力政	來勁	q	III	k	真	l	XLI	xxxx	l	勿𢌇（廢）朕令（命l）！》	verwirf mein Mandat nicht!	
5	DÀ YÚ DǏNG 大盂鼎	152-155	18m	273	命	mìng	*mjaengH	*mriŋ(s)	眉病	明映	q	III	k	真	l						
5	DÀ YÚ DǏNG 大盂鼎	152-155	19c	278	休	xiū	*xjuw	*x( r )u	許尤	曉尤	p	III	k	幽	M	XLII	xxxxx	M	盂用對王休M ，	[Ich,] Yú erwidere hiermit den Gnadenerweis des Königs,	
5	DÀ YÚ DǏNG 大盂鼎	152-155	19j	285	鼎	dǐng	*tengX	*tēŋʔ	都挺	端迥	s	IV	k	耕	L	XLIII	xxxxxxx	L	用乍（作）且（祖）南公寶鼎L 。	und lasse hiermit einen wertvollen dǐng-Dreifuß für meinen Ahnvater, den Herzog des Südens, fertigen.	
5	DÀ YÚ DǏNG 大盂鼎	152-155	19p	291	祀	sì	*ziX	*zə(k)ʔ	詳里	邪止	s	III	k	之	m	XLIV	xxxxxx	m	隹（唯）王廿（二十）又三祀m 。	Es ist das dreiundzwanzigste Opferjahr des Königs.“	
6	MÀI HÉ 麥盉	161-162	***																		
7	XIǍOCHÉN ?ZI GUǏ 小臣{言+速}簋 	162-163		(1-5)																	
7	XIǍOCHÉN ?ZI GUǏ 小臣{言+速}簋 	162-163	3d	20	尸	shī	*syij	*hlij	式脂	書脂	p	III	k	脂	a	I	xxxxxxxxxxxxxxx	A	{{虍>且}+又}，東尸（夷）大反！白（伯）懋父𠂤 （以）殷八𠂤 （師）征東尸（夷A）。	"""Verflucht, die Östlichen Yí haben großen Aufruhr veranstaltet Der (Älteste →) Fürst, Vater Mào, führte mit den acht Garnisonen von Yīn eine Strafexpedition gegen die östlichen Yí."	
7	XIǍOCHÉN ?ZI GUǏ 小臣{言+速}簋 	162-163	3d	20	夷	yí	*yij	*ləj	以脂	以脂	p	III	k	脂	A						
7	XIǍOCHÉN ?ZI GUǏ 小臣{言+速}簋 	162-163	3h	24	月	yuè	*ngjwot	*nʷat	魚厥	疑月	r	III	h	月	X	II	xxxx	X	唯十又一月X ，	Es war im elften Monat,	
7	XIǍOCHÉN ?ZI GUǏ 小臣{言+速}簋 	162-163	4b	27	𠂤 	duī	*twoj	*tūj	都回	端灰	p	I	h	微	a	III	xxx	a	{辶+{{臼0目}>口}}（遷）自{吅>人>克}𠂤 a，	als er sich von der Garnison ? aus in Marsch setzte,	
