ID	POEM_NUMBER	POEM_NAME	STANZA	LINE_IN_SOURCE	LINE	RHYME	RHYMEWORD	RECONSTRUCTION	COMMENT
84	6	桃夭	1	1	宜其室a[kea]家。 （鱼部）	宜其室家	室	a	kea	鱼部
85	6	桃夭	2	0	桃之夭夭	桃之夭夭				
86	6	桃夭	2	1	有蕡其a[djiet]實。	有蕡其實	其	a	djiet	
87	6	桃夭	2	0	之子于歸	之子于歸				
88	6	桃夭	2	1	宜其家a[sjiet]室。（质部）	宜其家室	家	a	sjiet	质部
89	6	桃夭	3	0	桃之夭夭	桃之夭夭				
90	6	桃夭	3	1	其葉蓁a[tzhen]蓁。	其葉蓁蓁	蓁	a	tzhen	
91	6	桃夭	3	0	之子于歸	之子于歸				
92	6	桃夭	3	1	宜其家a[njien]人。（真部）	宜其家人	家	a	njien	真部
93	7	兔罝	1	0	肅肅兔a[tzia]罝	肅肅兔罝	兔	a	tzia	
94	7	兔罝	1	1	椓之丁b[teng]丁。（a= 鱼部）	椓之丁丁	丁	b	teng	a=鱼部
95	7	兔罝	1	0	赳赳武a[piua]夫	赳赳武夫	武	a	piua	
96	7	兔罝	1	1	公侯干b[zjieng]城。（b= 耕部）	公侯干城	干	b	zjieng	b=耕部
97	7	兔罝	2	0	肅肅兔a[tzia]罝	肅肅兔罝	兔	a	tzia	
98	7	兔罝	2	1	施于中b[giu]逵。（a= 鱼部）	施于中逵	中	b	giu	a=鱼部
99	7	兔罝	2	0	赳赳武a[piua]夫	赳赳武夫	武	a	piua	
100	7	兔罝	2	1	公侯好b[giu]仇。（b=幽部）	公侯好仇	好	b	giu	b=幽部
101	7	兔罝	3	0	肅肅兔a[tzia]罝	肅肅兔罝	兔	a	tzia	
102	7	兔罝	3	1	施于中b[liəm]林。（a= 鱼部）	施于中林	中	b	liəm	a=鱼部
103	7	兔罝	3	0	赳赳武a[piua]夫	赳赳武夫	武	a	piua	
104	7	兔罝	3	1	公侯腹b[siəm]心。（b= 侵部）	公侯腹心	腹	b	siəm	b=侵部
105	8	芣苡	1	0	采采芣a[jiə]苢	采采芣苢	芣	a	jiə	
106	8	芣苡	1	1	薄言b[tsə]采之。（a= 之部）	薄言采之	言	b	tsə	a=之部
107	8	芣苡	1	0	采采芣a[jiə]苢	采采芣苢	芣	a	jiə	
108	8	芣苡	1	1	薄言b[hiuə]有之。（b= 之部）	薄言有之	言	b	hiuə	b=之部
109	8	芣苡	2	0	采采芣a[jiə]苢	采采芣苢	芣	a	jiə	
110	8	芣苡	2	1	薄言b[tuat]掇之。（a= 之部）	薄言掇之	言	b	tuat	a=之部
111	8	芣苡	2	0	采采芣a[jiə]苢	采采芣苢	芣	a	jiə	
112	8	芣苡	2	1	薄言b[luat]捋之。（b= 月部）	薄言捋之	言	b	luat	b=月部
113	8	芣苡	3	0	采采芣a[jiə]苢	采采芣苢	芣	a	jiə	
114	8	芣苡	3	1	薄言b[kyet]袺之。（a= 之部）	薄言袺之	言	b	kyet	a=之部
115	8	芣苡	3	0	采采芣a[jiə]苢	采采芣苢	芣	a	jiə	
116	8	芣苡	3	1	薄言b[hyet]襭之。（b= 质部）	薄言襭之	言	b	hyet	b=质部
117	9	漢廣	1	0	南有喬木	南有喬木				
118	9	漢廣	1	1	不可a[xiu]1休息。	不可休息	可	a	xiu	
119	9	漢廣	1	0	漢有游女	漢有游女				
120	9	漢廣	1	1	不可a[giu]求思。（幽部）	不可求思	可	a	giu	幽部
121	9	漢廣	1	0	漢之b[kuang]廣矣	漢之廣矣	之	b	kuang	
122	9	漢廣	1	1	不可b[hyuang]泳思。	不可泳思	可	b	hyuang	
123	9	漢廣	1	0	江之b[hyuang]永矣	江之永矣	之	b	hyuang	
124	9	漢廣	1	1	不可b[piuang]方思。（阳部）	不可方思	可	b	piuang	阳部
125	9	漢廣	2	0	翹翹錯薪	翹翹錯薪				
126	9	漢廣	2	1	言刈其a[tshia]楚。	言刈其楚	其	a	tshia	
127	9	漢廣	2	0	之子于歸	之子于歸				
128	9	漢廣	2	1	言秣其a[mea]馬。（鱼部）	言秣其馬	其	a	mea	鱼部
129	9	漢廣	2	0	漢之b[kuang]廣矣	漢之廣矣	之	b	kuang	
130	9	漢廣	2	1	不可b[hyuang]泳思。	不可泳思	可	b	hyuang	
131	9	漢廣	2	0	江之b[hyuang]永矣	江之永矣	之	b	hyuang	
132	9	漢廣	2	1	不可b[piuang]方思。（阳部）	不可方思	可	b	piuang	阳部
133	9	漢廣	3	0	翹翹錯薪	翹翹錯薪				
134	9	漢廣	3	1	言刈其a[lio]蔞。	言刈其蔞	其	a	lio	
135	9	漢廣	3	0	之子于歸	之子于歸				
136	9	漢廣	3	1	言秣其a[kio]駒。（侯部）	言秣其駒	其	a	kio	侯部
137	9	漢廣	3	0	漢之b[kuang]廣矣	漢之廣矣	之	b	kuang	
138	9	漢廣	3	1	不可b[hyuang]泳思。	不可泳思	可	b	hyuang	
139	9	漢廣	3	0	江之b[hyuang]永矣	江之永矣	之	b	hyuang	
140	9	漢廣	3	1	不可b[piuang]方思。（阳部）	不可方思	可	b	piuang	阳部
141	10	汝墳	1	0	遵彼汝墳	遵彼汝墳				
142	10	汝墳	1	1	伐其條a[muəi]枚。	伐其條枚	條	a	muəi	
143	10	汝墳	1	0	未見君子	未見君子				
144	10	汝墳	1	1	惄如調a[kiei]飢。（微脂合韵）	惄如調飢	調	a	kiei	微脂合韵
145	10	汝墳	2	0	遵彼汝墳	遵彼汝墳				
146	10	汝墳	2	1	伐其條a[jiet]肄。	伐其條肄	條	a	jiet	
147	10	汝墳	2	0	既見君子	既見君子				
148	10	汝墳	2	1	不我遐a[khiet]棄。（质部）	不我遐棄	遐	a	khiet	质部
149	10	汝墳	3	0	魴魚赬a[miuəi]尾	魴魚赬尾	赬	a	miuəi	
150	10	汝墳	3	1	王室如a[xiuəi]燬。	王室如燬	如	a	xiuəi	
151	10	汝墳	3	0	雖則如a[xiuəi]燬	雖則如燬	如	a	xiuəi	
152	10	汝墳	3	1	父母孔a[njiei]邇。（微脂合韵）	父母孔邇	孔	a	njiei	微脂合韵
153	11	麟之趾	1	0	麟之a[tjiə]趾	麟之趾	之	a	tjiə	
154	11	麟之趾	1	1	振振公a[tziə]子。（之部）	振振公子	公	a	tziə	之部
155	11	麟之趾	1	0	于嗟B[lien]麟兮。（与下二章遥韵）	于嗟麟兮	嗟	B	lien	与下二章遥韵
156	11	麟之趾	2	0	麟之a[dyeng]定	麟之定	之	a	dyeng	
157	11	麟之趾	2	1	振振公a[sieng]姓。（耕部）	振振公姓	公	a	sieng	耕部
158	11	麟之趾	2	0	于嗟B[lien]麟兮。	于嗟麟兮	嗟	B	lien	
159	11	麟之趾	3	0	麟之a[keok]角	麟之角	之	a	keok	
160	11	麟之趾	3	1	振振公a[dzok]族。（屋部）	振振公族	公	a	dzok	屋部
161	11	麟之趾	3	0	于嗟B[lien]麟兮。（真部）	于嗟麟兮	嗟	B	lien	真部
162	11	麟之趾	8	0	召南	召南				
163	12	鵲巢	1	0	維鵲有巢	維鵲有巢				
164	12	鵲巢	1	1	維鳩a[kia]居之。	維鳩居之	鳩	a	kia	
165	12	鵲巢	1	0	之子于歸	之子于歸				
166	12	鵲巢	1	1	百兩a[ngiak]御之。（鱼铎通韵）	百兩御之	兩	a	ngiak	鱼铎通韵
167	12	鵲巢	2	0	維鵲有巢	維鵲有巢				
168	12	鵲巢	2	1	維鳩a[piuang]方之。	維鳩方之	鳩	a	piuang	
169	12	鵲巢	2	0	之子于歸	之子于歸				
170	12	鵲巢	2	1	百兩a[tziang]將之。（阳部）	百兩將之	兩	a	tziang	阳部
171	12	鵲巢	3	0	維鵲有巢	維鵲有巢				
172	12	鵲巢	3	1	維鳩a[jieng]盈之。	維鳩盈之	鳩	a	jieng	
173	12	鵲巢	3	0	之子于歸	之子于歸				
174	12	鵲巢	3	1	百兩a[zjieng]成之。（耕部）	百兩成之	兩	a	zjieng	耕部
175	13	采蘩	1	0	于以采蘩	于以采蘩				
176	13	采蘩	1	1	于沼于a[tjiə]沚。	于沼于沚	于	a	tjiə	
177	13	采蘩	1	0	于以用之	于以用之				
178	13	采蘩	1	1	公侯之a[dzhiə]事。（之部）	公侯之事	之	a	dzhiə	之部
179	13	采蘩	2	0	于以采蘩	于以采蘩				
180	13	采蘩	2	1	于澗之a[tiuəm]中。	于澗之中	之	a	tiuəm	
181	13	采蘩	2	0	于以用之	于以用之				
182	13	采蘩	2	1	公侯之a[kiuəm]宮。（侵部）	公侯之宮	之	a	kiuəm	侵部
183	13	采蘩	3	0	被之僮a[dong]僮	被之僮僮	僮	a	dong	
184	13	采蘩	3	1	夙夜在a[kong]公。（东部）	夙夜在公	在	a	kong	东部
185	13	采蘩	3	0	被之祁b[giei]祁	被之祁祁	祁	b	giei	
186	13	采蘩	3	1	薄言還b[kiuəi]歸。（脂微合韵）	薄言還歸	還	b	kiuəi	脂微合韵
187	14	草蟲	1	0	喓喓草a[diuəm]蟲	喓喓草蟲	草	a	diuəm	
188	14	草蟲	1	1	趯趯阜a[tjiuəm]螽	趯趯阜螽	阜	a	tjiuəm	
189	14	草蟲	1	2						
190	14	草蟲	1	0	未見君b[tziə]子	未見君子	君	b	tziə	
191	14	草蟲	1	1	憂心忡a[thiuəm]忡。（a= 侵部）	憂心忡忡	忡	a	thiuəm	a=侵部
192	14	草蟲	1	0	亦既見b[tjiə]止	亦既見止	見	b	tjiə	
193	14	草蟲	1	1	亦既覯b[tjiə]止	亦既覯止	覯	b	tjiə	
194	14	草蟲	1	2	我心則a[hoəm]降。（b= 之部）	我心則降	則	a	hoəm	b=之部
195	14	草蟲	2	0	陟彼南山	陟彼南山				
196	14	草蟲	2	1	言采其a[kiuat]蕨。	言采其蕨	其	a	kiuat	
197	14	草蟲	2	0	未見君b[tziə]子	未見君子	君	b	tziə	
198	14	草蟲	2	1	憂心惙a[tiuat]惙。（a= 月部）	憂心惙惙	惙	a	tiuat	a=月部
199	14	草蟲	2	0	亦既見b[tjiə]止	亦既見止	見	b	tjiə	
200	14	草蟲	2	1	亦既覯b[tjiə]止	亦既覯止	覯	b	tjiə	
201	14	草蟲	2	2	我心則a[jiuat]說。（b= 之部）	我心則說	則	a	jiuat	b=之部
202	14	草蟲	3	0	陟彼南山	陟彼南山				
203	14	草蟲	3	1	言采其a[miuəi]薇。	言采其薇	其	a	miuəi	
204	14	草蟲	3	0	未見君b[tziə]子	未見君子	君	b	tziə	
205	14	草蟲	3	1	我心傷a[pəi]悲。（a= 微脂合韵）	我心傷悲	傷	a	pəi	a=微脂合韵
206	14	草蟲	3	0	亦既見b[tjiə]止	亦既見止	見	b	tjiə	
207	14	草蟲	3	1	亦既覯b[tjiə]止	亦既覯止	覯	b	tjiə	
208	14	草蟲	3	2	我心則a[jiei]夷。（b= 之部）	我心則夷	則	a	jiei	b=之部
209	15	采蘋	1	0	于以采a[bien]蘋	于以采蘋	采	a	bien	
210	15	采蘋	1	1	南澗之a[pien]濱。（真部）	南澗之濱	之	a	pien	真部
211	15	采蘋	1	0	于以采b[tzô]藻	于以采藻	采	b	tzô	
212	15	采蘋	1	1	于彼行b[lô]潦。（宵部）	于彼行潦	行	b	lô	宵部
213	15	采蘋	2	0	于以盛之	于以盛之				
214	15	采蘋	2	1	維筐及a[kia]筥。	維筐及筥	及	a	kia	
215	15	采蘋	2	0	于以湘之	于以湘之				
216	15	采蘋	2	1	維錡及a[biua]釜。（鱼部）	維錡及釜	及	a	biua	鱼部
217	15	采蘋	3	0	于以奠之	于以奠之				
218	15	采蘋	3	1	宗室牖a[hea]下。	宗室牖下	牖	a	hea	
219	15	采蘋	3	0	誰起尸之	誰起尸之				
220	15	采蘋	3	1	有齊季a[nia]女。（鱼部）	有齊季女	季	a	nia	鱼部
221	16	甘棠	1	0	蔽芾甘棠	蔽芾甘棠				
222	16	甘棠	1	1	勿翦勿a[biuat]伐	勿翦勿伐	勿	a	biuat	
223	16	甘棠	1	2	召伯所a[buat]茇。（月部）	召伯所茇	所	a	buat	月部
224	16	甘棠	2	0	蔽芾甘棠	蔽芾甘棠				
225	16	甘棠	2	1	勿翦勿a[beat]敗	勿翦勿敗	勿	a	beat	
226	16	甘棠	2	2	召伯所a[khiat]憩。（月部）	召伯所憩	所	a	khiat	月部
227	16	甘棠	3	0	蔽芾甘棠	蔽芾甘棠				
228	16	甘棠	3	1	勿翦勿a[peat]拜	勿翦勿拜	勿	a	peat	
229	16	甘棠	3	2	召伯所a[sjiuat]說。（月部）	召伯所說	所	a	sjiuat	月部
230	17	行露	1	0	厭浥行a[lak]露	厭浥行露	行	a	lak	
231	17	行露	1	1	豈不夙a[jyak]夜	豈不夙夜	夙	a	jyak	
232	17	行露	1	2	謂行多a[lak]露。（铎部）	謂行多露	多	a	lak	铎部
233	17	行露	2	0	誰謂雀無a[keok]角	誰謂雀無角	無	a	keok	
234	17	行露	2	1	何以穿我a[ok]屋。	何以穿我屋	我	a	ok	
235	17	行露	2	0	誰謂女無家	誰謂女無家				
236	17	行露	2	1	何以速我a[ngiok]獄。	何以速我獄	我	a	ngiok	
237	17	行露	2	0	雖速我a[ngiok]獄	雖速我獄	我	a	ngiok	
238	17	行露	2	1	室家不a[tziok]足。（屋部）	室家不足	不	a	tziok	屋部
239	17	行露	3	0	誰謂鼠無a[ngea]牙	誰謂鼠無牙	無	a	ngea	
240	17	行露	3	1	何以穿我b[jiong]墉。	何以穿我墉	我	b	jiong	
241	17	行露	3	0	誰謂女無a[kea]家	誰謂女無家	無	a	kea	
242	17	行露	3	1	何以速我b[ziong]訟。（a= 鱼部）	何以速我訟	我	b	ziong	a=鱼部
243	17	行露	3	0	雖速我b[ziong]訟	雖速我訟	我	b	ziong	
244	17	行露	3	1	亦不女b[dziong]從。（b= 东部）	亦不女從	女	b	dziong	b=东部
245	18	羔羊	1	0	羔羊之a[biai]皮	羔羊之皮	之	a	biai	
246	18	羔羊	1	1	素絲五a[dai]紽。	素絲五紽	五	a	dai	
247	18	羔羊	1	0	退食自公	退食自公				
248	18	羔羊	1	1	委蛇委a[jiai]蛇。（歌部）	委蛇委蛇	委	a	jiai	歌部
249	18	羔羊	2	0	羔羊之a[kək]革	羔羊之革	之	a	kək	
250	18	羔羊	2	1	素絲五a[hiuək]緎。	素絲五緎	五	a	hiuək	
251	18	羔羊	2	0	委蛇委蛇	委蛇委蛇				
252	18	羔羊	2	1	自公退a[djiək]食。（职部）	自公退食	退	a	djiək	职部
253	18	羔羊	3	0	羔羊之a[biong]縫	羔羊之縫	之	a	biong	
254	18	羔羊	3	1	素絲五a[tzong]總。	素絲五總	五	a	tzong	
255	18	羔羊	3	0	委蛇委蛇	委蛇委蛇				
256	18	羔羊	3	1	退食自a[kong]公。（东部）	退食自公	自	a	kong	东部
257	19	殷其雷	1	0	殷其靁	殷其靁				
258	19	殷其雷	1	1	在南山之a[jiang]陽。	在南山之陽	之	a	jiang	
259	19	殷其雷	1	0	何斯違斯	何斯違斯				
260	19	殷其雷	1	1	莫敢或a[huang]遑。（阳部）	莫敢或遑	或	a	huang	阳部
261	19	殷其雷	1	0	振振君B[tziə]子	振振君子	君	B	tziə	
262	19	殷其雷	1	1	歸哉歸B[tzə]哉。（之部）（又与二	歸哉歸哉	歸	B	tzə	之部又与二
263	19	殷其雷	1	2	三章协）	三章协				
264	19	殷其雷	2	0	殷其靁	殷其靁				
265	19	殷其雷	2	1	在南山之a[tzhiək]側。	在南山之側	之	a	tzhiək	
266	19	殷其雷	2	0	何斯違斯	何斯違斯				
267	19	殷其雷	2	1	莫敢遑a[siək]息。（职部）	莫敢遑息	遑	a	siək	职部
268	19	殷其雷	2	0	振振君B[tziə]子	振振君子	君	B	tziə	
269	19	殷其雷	2	1	歸哉歸B[tzə]哉。（之部）	歸哉歸哉	歸	B	tzə	之部
270	19	殷其雷	3	0	殷其靁	殷其靁				
271	19	殷其雷	3	1	在南山之a[hea]下。	在南山之下	之	a	hea	
272	19	殷其雷	3	0	何斯違斯	何斯違斯				
273	19	殷其雷	3	1	莫敢遑a[thjia]處。（鱼部）	莫敢遑處	遑	a	thjia	鱼部
274	19	殷其雷	3	0	振振君B[tziə]子	振振君子	君	B	tziə	
275	19	殷其雷	3	1	歸哉歸B[tzə]哉。（之部）	歸哉歸哉	歸	B	tzə	之部
276	20	摽有梅	1	0	摽有梅	摽有梅				
277	20	摽有梅	1	1	其實a[tsiet]七兮。	其實七兮	實	a	tsiet	
278	20	摽有梅	1	0	求我庶士	求我庶士				
279	20	摽有梅	1	1	迨其a[kiet]吉兮。（质部）	迨其吉兮	其	a	kiet	质部
280	20	摽有梅	2	0	摽有梅	摽有梅				
281	20	摽有梅	2	1	其實a[səm]三兮。	其實三兮	實	a	səm	
282	20	摽有梅	2	0	求我庶士	求我庶士				
283	20	摽有梅	2	1	迨其a[kiəm]今兮。（侵部）	迨其今兮	其	a	kiəm	侵部
284	20	摽有梅	3	0	摽有梅	摽有梅				
285	20	摽有梅	3	1	頃筐a[xiət]塈之。	頃筐塈之	筐	a	xiət	
286	20	摽有梅	3	0	求我庶士	求我庶士				
287	20	摽有梅	3	1	迨其a[hiuət]謂之。（物部）	迨其謂之	其	a	hiuət	物部
288	21	小星	1	0	嘒彼小a[syeng]星	嘒彼小星	小	a	syeng	
289	21	小星	1	1	三五在b[tong]東。（a= 耕部）	三五在東	在	b	tong	a=耕部
290	21	小星	1	0	肅肅宵a[tjieng]征	肅肅宵征	宵	a	tjieng	
291	21	小星	1	1	夙夜在b[kong]公	夙夜在公	在	b	kong	
292	21	小星	1	2	寔命不b[dong]同。（b= 东部）	寔命不同	不	b	dong	b=东部
293	21	小星	2	0	嘒彼小a[syeng]星	嘒彼小星	小	a	syeng	
294	21	小星	2	1	 維參與b[meu]昴。（a= 耕部）	維參與昴	與	b	meu	a=耕部
295	21	小星	2	0	肅肅宵a[tjieng]征	肅肅宵征	宵	a	tjieng	
296	21	小星	2	1	抱衾與b[diu]裯	抱衾與裯	與	b	diu	
297	21	小星	2	2	寔命不b[jiu]猶。（b= 幽部）	寔命不猶	不	b	jiu	b=幽部
298	22	江有汜	1	0	江有a[ziə]汜	江有汜	有	a	ziə	
299	22	江有汜	1	1	之子歸	之子歸				
300	22	江有汜	1	2	不我a[jiə]以。	不我以	我	a	jiə	
301	22	江有汜	1	0	不我a[jiə]以	不我以	我	a	jiə	
302	22	江有汜	1	1	其後也a[xuə]悔。（之部）	其後也悔	也	a	xuə	之部
303	22	江有汜	2	0	江有a[tjia]渚	江有渚	有	a	tjia	
304	22	江有汜	2	1	之子歸	之子歸				
305	22	江有汜	2	2	不我a[jia]與。	不我與	我	a	jia	
306	22	江有汜	2	0	不我a[jia]與	不我與	我	a	jia	
307	22	江有汜	2	1	其後也a[thjia]處。（鱼部）	其後也處	也	a	thjia	鱼部
308	22	江有汜	3	0	江有a[dai]沱	江有沱	有	a	dai	
309	22	江有汜	3	1	之子歸	之子歸				
310	22	江有汜	3	2	不我a[kuai]過。	不我過	我	a	kuai	
311	22	江有汜	3	0	不我a[kuai]過	不我過	我	a	kuai	
312	22	江有汜	3	1	其嘯也a[kai]歌。（歌部）	其嘯也歌	也	a	kai	歌部
313	23	野有死麇	1	0	野有死a[kyuən]麇	野有死麇	死	a	kyuən	
314	23	野有死麇	1	1	白茅b[peu]包之。（a= 文部）	白茅包之	茅	b	peu	a=文部
315	23	野有死麇	1	0	有女懷a[thjiuən]春	有女懷春	懷	a	thjiuən	
316	23	野有死麇	1	1	吉士b[jiu]誘之。（b= 幽部）	吉士誘之	士	b	jiu	b=幽部
317	23	野有死麇	2	0	林有樸a[sok]樕	林有樸樕	樸	a	sok	
318	23	野有死麇	2	1	野有死a[lok]鹿。	野有死鹿	死	a	lok	
319	23	野有死麇	2	0	白茅純a[sjiok]束	白茅純束	純	a	sjiok	
320	23	野有死麇	2	1	有女如a[ngiok]玉。（屋部）	有女如玉	如	a	ngiok	屋部
321	23	野有死麇	3	0	舒而脫a[thuat]脫兮	舒而脫脫兮	脫	a	thuat	
322	23	野有死麇	3	1	無感我a[sjiuat]帨兮	無感我帨兮	我	a	sjiuat	
323	23	野有死麇	3	2	無使尨也a[biuat]吠。（月部）	無使尨也吠	也	a	biuat	月部
324	24	何彼襛矣	1	0	何彼襛矣	何彼襛矣				
325	24	何彼襛矣	1	1	唐棣之a[hoa]華。	唐棣之華	之	a	hoa	
326	24	何彼襛矣	1	0	曷不肅雝	曷不肅雝				
327	24	何彼襛矣	1	1	王姬之a[kia]車。（鱼部）	王姬之車	之	a	kia	鱼部
328	24	何彼襛矣	2	0	何彼襛矣	何彼襛矣				
329	24	何彼襛矣	2	1	華如桃a[liə]李。	華如桃李	桃	a	liə	
330	24	何彼襛矣	2	0	平王之孫	平王之孫				
331	24	何彼襛矣	2	1	齊侯之a[tziə]子。（之部）	齊侯之子	之	a	tziə	之部
332	24	何彼襛矣	3	0	其釣維何	其釣維何				
333	24	何彼襛矣	3	1	維絲伊a[miən]緡。	維絲伊緡	伊	a	miən	
